Level,ID,Item,Role,Status,Acceptance Criteria,Evidence,Gaps (if Partial/Not Completed)
Story,FNF-E4,Database Schema Creation,BE/DB,Fully completed,"All core tables exist (users, roles, devices, audit_logs, models, tenants) with constraints/indexes/FKs",supabase migrations; README sprint closure notes,-
Story,FNF-E4,Row-Level Security (RLS) Policies,BE/DB,Partially completed,Tenant isolation + role-based access enforced for users/roles/devices/audit,RLS migrations implemented; full automated policy test matrix not clearly present,Missing comprehensive automated DB policy regression tests across roles and tenant permutations
Story,FNF-2,Authentication System (Email/SSO/MFA),FE + BE,Partially completed,"Email login/reset works, protected routes, role redirect, SSO/MFA scaffold",Auth UI and guards present; backend auth lifecycle still depends on Supabase Auth flows,Custom backend auth lifecycle endpoints (full login/logout/reset orchestration) and stronger E2E auth test coverage
Story,FNF-2,Admin Dashboard Scaffold,FE,Fully completed (scaffold scope),"Sidebar/header/pages exist, role-safe navigation, responsive base layout",Admin pages/components/routes implemented,-
Story,FNF-2,User Dashboard Scaffold,FE (+BE APIs),Partially completed,Marketplace/MyPods/request flows usable with tenant context,UI and flows exist; some areas remain scaffold/mock-heavy,Replace scaffold/mock data with fully live backend data and complete end-to-end validations
Story,FNF-E10,CI/CD Pipeline - Azure App Service,DevOps,Partially completed,Build/test/deploy automation with rollback for Azure App Service,CI is present; App Service deployment mainly for dev while staging/prod are mixed with VM deploy workflows,"Staging/prod App Service deployment parity, environment approvals, and production rollback drills for App Service path"
Story,FNF-E2,Edge Device Registration & Heartbeat,BE + FE,Partially completed,"Device registration, heartbeat/offline, model sync/download flow",APIs/tests strong; end-to-end download orchestration not fully unified,Unified end-to-end model download/install lifecycle across web/electron and operational monitoring for failures
Story,FNF-E5,Tenant Onboarding Wizard (Signup -> First Inference),BE + FE,Partially completed,Tenant provisioning API + step-based onboarding frontend flow,Provisioning API is strong and tested; full frontend wizard completion/sign-off not fully proven,Complete front-end wizard acceptance tests and verify first-inference happy/edge paths in production-like env
Story,FNF-E1,Real-Time Subscription Architecture (Supabase Realtime),BE/DB + FE,Partially completed,Realtime channels + message updates (online/offline/notifications),Realtime DB plumbing exists; full E2E subscription validation is limited,Robust reconnect/backoff handling and full E2E tests for realtime delivery guarantees
Story,FNF-E4,RBAC Implementation (Admin/User/Viewer),BE + FE,Partially completed,3-role model enforced in API + middleware + UI guards,Role guards and RBAC paths exist; full coverage across all endpoints is unclear,Endpoint-by-endpoint RBAC verification matrix and negative test coverage for privilege escalation attempts
Subtask,FNF-9,Create Users Table,BE/DB,Fully completed,"users table includes tenant_id, role_id, created_at, last_login and related constraints",schema closure migration,-
Subtask,FNF-9,Create Roles Table,BE/DB,Fully completed,roles table includes role name and JSON permissions model,schema migration,-
Subtask,FNF-9,Create Devices Table,BE/DB,Fully completed,device identity/token/status fields with tenant linkage,schema migration,-
Subtask,FNF-9,Create Audit Logs Table,BE/DB,Fully completed,audit logs capture actor/action with security metadata and tenant scope,schema migration,-
Subtask,FNF-9,Create Models & Tenants Tables,BE/DB,Fully completed,model catalog and tenant entities created with relationships,schema migration,-
Subtask,FNF-10,Apply RLS to Devices Table,BE/DB,Fully completed,Users can only read/write devices in their tenant,RLS hardening migrations,-
Subtask,FNF-10,Apply RLS to Users Table,BE/DB,Fully completed,User rows are tenant-scoped and access-controlled,RLS hardening migrations,-
Subtask,FNF-10,Apply RLS to Roles Table,BE/DB,Partially completed,Roles readable/managed by tenant admin policies,policy scripts exist; full automated verification not clear,"Automated tests for role policy edge cases (cross-tenant reads, admin-only mutations)"
Subtask,FNF-10,Apply RLS to Audit Logs Table,BE/DB,Partially completed,Audit logs are visible only within tenant boundaries,policy scripts exist; broad automated validation not evident,Automated test suite proving audit visibility boundaries for all role combinations
Subtask,FNF-3,Configure Supabase Auth + DB Connection,BE,Fully completed,Backend validates Supabase JWT/session context and integrates DB access,backend supabase auth integration and route guards,-
Subtask,FNF-3,Implement Login/Logout/Session Logic,FE + BE,Partially completed,"Session guard, login/logout UX, token/session handling",frontend flows implemented; backend does not own full auth lifecycle endpoints,Complete backend-owned auth flow coverage or formally document Supabase-only ownership; add full session expiry/refresh E2E tests
Subtask,FNF-3,Frontend Auth Screens (Login & Reset Password),FE,Fully completed (working + scaffold),"/auth supports login, forgot password, and reset recovery paths",Auth page/components implemented,-
Subtask,FNF-3,Protected Route Guards & Role Redirect,FE,Fully completed,Unauthenticated users redirect to /auth; role redirects route to correct dashboard,ProtectedRoute and redirect behavior implemented,-
Subtask,FNF-3,QA - Auth Functional & Security Testing,QA/FE,Not completed (formal sign-off),QA checklist and smoke/security checks fully executed and marked pass,checklist exists but remains unchecked,"Execute and document full checklist results (functional + security), including evidence artifacts and pass/fail sign-off"
Subtask,FNF-11,React/Tailwind Base Layout & Design System,FE,Fully completed (scaffold),Shared shell/components and base layout are available,dashboard scaffold and shared UI components,-
Subtask,FNF-11,Sidebar Navigation with Icons & Active State,FE,Fully completed,Role-aware sidebar with active state routing,navigation implemented,-
Subtask,FNF-11,Header with Profile Dropdown & Logout,FE,Fully completed,Header actions include profile menu and logout,header/profile controls implemented,-
Subtask,FNF-11,Dashboard Pages (Devices/Models/Users/Settings),FE,Fully completed (scaffold),Core dashboard routes/pages exist with baseline content,pages present and wired,-
Subtask,FNF-11,Responsive QA - Desktop/Laptop/Tablet,FE/QA,Partially completed,Cross-browser/responsive/accessibility checks completed,partial evidence only; no complete QA sign-off matrix,Complete responsive + accessibility test matrix across target browsers/devices and record signed results
Subtask,FNF-15,Model Marketplace Grid View,FE,Fully completed,Marketplace list/grid with cards and interactions,Marketplace page implemented,-
Subtask,FNF-15,Pod Activation Request Flow,FE + BE,Partially completed,Activation request posts and status updates are tracked,flow exists; production-level completion evidence is partial,"Production-grade E2E tests for request lifecycle, failure retries, and role-based approval boundaries"
Subtask,FNF-15,My Pods List (Activated),FE,Partially completed,Activated pods listing with tenant-aware state,list exists; some data remains scaffolded,Replace remaining stub/scaffold data with live API responses and state sync validation
Subtask,FNF-15,Playground Launcher per Pod,FE,Partially completed,User can launch playground in selected pod context,launcher/UI exists; backend integration is uneven,Stabilize backend integration contract and verify launch behavior for all pod states
Subtask,FNF-15,Admin Approve / Decline Pod Request UI,FE + BE,Partially completed,Admin can approve/decline pod requests with one-click actions,UI and API paths exist; full E2E proof is limited,"End-to-end validation for approval/decline with audit trail, notifications, and concurrent action handling"
Subtask,FNF-14,Provision Dev App Service on Azure,DevOps,Partially completed,Dev environment deploys automatically to Azure App Service,App Service workflow available for dev path,"Harden with environment protections, health checks, and repeatable rollback validation"
Subtask,FNF-14,Provision Prod App Service on Azure,DevOps,Not completed (App Service-specific),Prod App Service deployment path with rollback and checks,prod deployment primarily uses VM-oriented workflows,"Implement production App Service deployment pipeline with approvals, secrets hardening, smoke tests, and rollback"
Subtask,FNF-14,GitHub Actions Workflow (build/test/deploy),DevOps,Fully completed,CI pipeline runs build/test/deploy with release/hotfix support,multiple GitHub workflows implemented,-
Subtask,FNF-43,Build Electron App Shell (Windows/macOS/Linux),FE/Client,Partially completed,Client shell supports registration/bootstrap flow across edge runtime,Electron/device UX exists but packaging/flow is not fully unified,Cross-platform packaging/signing/release standardization and full install-to-registration QA
Subtask,FNF-43,Device Registration API (POST /api/v1/devices/register),BE,Fully completed,Idempotent device registration endpoint with secure token handling,backend device routes and tests,-
Subtask,FNF-43,Heartbeat Mechanism & Offline Detection,BE,Fully completed,Heartbeat updates status and detects stale/offline devices,backend heartbeat logic and tests,-
Subtask,FNF-43,Model Sync from Azure CDN to Edge Device,BE + Client,Partially completed,Signed URL/model download/activation/checksum flow works end-to-end,sync/download support exists; full orchestration evidence is partial,Finalize full download orchestration (resume/retry/checksum enforcement/version rollback) and operational observability
Subtask,FNF-48,Tenant Provisioning API (POST /api/v1/tenants),BE,Fully completed,"Idempotent tenant provisioning with rollback, auditing, and performance target",tenants route + production tests + SLA test,-
Subtask,FNF-48,Onboarding Wizard Frontend (4-step Flow),FE,Partially completed,Account -> plan -> model -> launch workflow fully operational,wizard-related UX exists; complete E2E sign-off unclear,"Complete wizard integration tests, field validation coverage, and first-inference completion telemetry"
Subtask,FNF-NEW2,API Middleware Role Guard,BE,Partially completed,JWT claim and endpoint ACL checks enforced consistently,role checks exist; full endpoint coverage verification pending,Comprehensive ACL test suite for every protected endpoint including denied-path assertions
Subtask,FNF-NEW2,Audit Logging with IP & User-Agent Tracking,BE,Partially completed,Audit entries include request metadata and actor context,audit routes/logging exist; comprehensive validation pending,Define and enforce audit event taxonomy and verify complete event coverage for critical actions
Subtask,FNF-NEW2,UI Settings (Profile/Preferences/API Keys),FE + BE,Partially completed,Settings are persisted end-to-end including API key actions,core settings wired; several sections still scaffold-level,Wire remaining settings sections to backend persistence and add E2E tests for API key lifecycle
